
2024/10/15 (21:04:22) | ===> btop++ v.1.4.0
2024/10/15 (21:04:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (18:35:11) | ===> btop++ v.1.4.0
2024/10/16 (18:35:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (16:55:53) | ===> btop++ v.1.4.0
2024/10/19 (16:55:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (16:22:08) | ===> btop++ v.1.4.0
2024/10/20 (16:22:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (20:59:18) | ===> btop++ v.1.4.0
2024/10/20 (20:59:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (22:01:01) | ===> btop++ v.1.4.0
2024/10/20 (22:01:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (22:01:41) | ===> btop++ v.1.4.0
2024/10/20 (22:01:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (18:47:18) | ===> btop++ v.1.4.0
2024/10/21 (18:47:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (23:20:43) | ===> btop++ v.1.4.0
2024/10/23 (23:20:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (11:09:08) | ===> btop++ v.1.4.0
2024/10/24 (11:09:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (12:25:31) | ===> btop++ v.1.4.0
2024/10/26 (12:25:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (18:59:32) | ===> btop++ v.1.4.0
2024/10/26 (18:59:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (19:00:03) | ===> btop++ v.1.4.0
2024/10/26 (19:00:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (20:43:20) | ===> btop++ v.1.4.0
2024/10/27 (20:43:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (20:09:31) | ===> btop++ v.1.4.0
2024/10/29 (20:09:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (20:33:13) | ===> btop++ v.1.4.0
2024/10/29 (20:33:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (20:33:28) | ===> btop++ v.1.4.0
2024/10/29 (20:33:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (20:35:35) | ===> btop++ v.1.4.0
2024/10/29 (20:35:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (17:08:32) | ===> btop++ v.1.4.0
2024/10/30 (17:08:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (18:35:39) | ===> btop++ v.1.4.0
2024/10/30 (18:35:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (18:35:43) | ===> btop++ v.1.4.0
2024/10/30 (18:35:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (18:41:22) | ===> btop++ v.1.4.0
2024/10/30 (18:41:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (19:30:14) | ===> btop++ v.1.4.0
2024/10/31 (19:30:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (21:21:54) | ===> btop++ v.1.4.0
2024/10/31 (21:21:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (21:25:52) | ===> btop++ v.1.4.0
2024/10/31 (21:25:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (16:05:25) | ===> btop++ v.1.4.0
2024/11/01 (16:05:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (14:49:07) | ===> btop++ v.1.4.0
2024/11/02 (14:49:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (15:13:22) | ===> btop++ v.1.4.0
2024/11/02 (15:13:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (15:51:34) | ===> btop++ v.1.4.0
2024/11/02 (15:51:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (17:34:12) | ===> btop++ v.1.4.0
2024/11/02 (17:34:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (05:24:48) | ===> btop++ v.1.4.0
2024/11/06 (05:24:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (19:12:16) | ===> btop++ v.1.4.0
2024/11/06 (19:12:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (19:21:02) | ===> btop++ v.1.4.0
2024/11/06 (19:21:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (19:53:29) | ===> btop++ v.1.4.0
2024/11/06 (19:53:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/27 (19:04:41) | ===> btop++ v.1.4.0
2024/11/27 (19:04:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (15:22:37) | ===> btop++ v.1.4.0
2025/02/08 (15:22:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (12:52:28) | ===> btop++ v.1.4.0
2025/02/11 (12:52:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (13:32:22) | ===> btop++ v.1.4.0
2025/02/11 (13:32:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (17:04:50) | ===> btop++ v.1.4.0
2025/02/11 (17:04:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (00:08:55) | ===> btop++ v.1.4.0
2025/04/03 (00:08:55) | WARNING: Intel GPU: Failed to initialize PMU
